,activation,alpha,hidden_layer_sizes,mean train score,mean test score
0,tanh,0.0001,1,0.7359636756207532,0.7221486588638774
1,tanh,0.0001,3,0.7589623420334032,0.7414729921008174
2,tanh,0.0001,5,0.7792004826316123,0.7341191929338589
3,tanh,0.0001,7,0.7773721978789611,0.7240080361627322
4,tanh,0.0001,9,0.8132437924684067,0.747923737627404
5,tanh,0.0001,11,0.8183069791071316,0.7294999213633065
6,tanh,0.0001,13,0.838543214580555,0.7194141312674712
7,tanh,0.0001,15,0.8767238204102368,0.7019136619839784
8,tanh,0.0001,17,0.8955877309963802,0.6973324404263631
9,tanh,0.0001,19,0.9098494951419318,0.7212532152260932
10,tanh,0.0001,21,0.9158271416777799,0.699168987717456
11,tanh,0.0001,23,0.9374388772464597,0.7148075430345647
12,tanh,0.0001,25,0.946186575220677,0.7046837029257924
13,tanh,0.0001,27,0.9696392963739126,0.7056171965765135
14,tanh,0.0001,29,0.9756194830761414,0.7065430802246473
15,tanh,0.01,1,0.7359636756207532,0.7221486588638774
16,tanh,0.01,3,0.7589623420334032,0.7405547184552711
17,tanh,0.01,5,0.7778211722867848,0.7341217296013881
18,tanh,0.01,7,0.7778326030354988,0.7258445834538251
19,tanh,0.01,9,0.8137041976249444,0.747923737627404
20,tanh,0.01,11,0.8169263986791134,0.7304207316763821
21,tanh,0.01,13,0.8403854702483012,0.7157308900151693
22,tanh,0.01,15,0.8679837429351623,0.709272534485995
23,tanh,0.01,17,0.893756906077348,0.70562734324663
24,tanh,0.01,19,0.900647742427129,0.7166542369957739
25,tanh,0.01,21,0.916279926335175,0.6973197570887174
26,tanh,0.01,23,0.9300742998666411,0.7230770791795402
27,tanh,0.01,25,0.9475696958150759,0.6954933564677411
28,tanh,0.01,27,0.9618200292119133,0.7065303968870017
29,tanh,0.01,29,0.9701016066552359,0.715746110020344
30,tanh,1.0,1,0.7368851209754239,0.7313415419894577
31,tanh,1.0,3,0.7580428018035182,0.7368714772029689
32,tanh,1.0,5,0.7598818822632882,0.7359506668898934
33,tanh,1.0,7,0.7497612243601957,0.7295126047009522
34,tanh,1.0,9,0.7608039626595543,0.7469800973065664
35,tanh,1.0,11,0.7603435575030164,0.7359481302223644
36,tanh,1.0,13,0.7612637327744968,0.7423861924113053
37,tanh,1.0,15,0.7690829999364959,0.7442278130374564
38,tanh,1.0,17,0.7681634597066108,0.7405471084526836
39,tanh,1.0,19,0.7667822442369975,0.743307002724381
40,tanh,1.0,21,0.7631047183590525,0.7387004144914743
41,tanh,1.0,23,0.7663256493300311,0.7423912657463637
42,tanh,1.0,25,0.7690849050612815,0.7451410133479445
43,tanh,1.0,27,0.7654073791833365,0.737784677513457
44,tanh,1.0,29,0.7700031752079761,0.7479135909572876
45,logistic,0.0001,1,0.7447075633453991,0.7313592986621615
46,logistic,0.0001,3,0.743326347875786,0.7267501737617258
47,logistic,0.0001,5,0.7447075633453991,0.7285917943878767
48,logistic,0.0001,7,0.7391884168413031,0.7258319001161794
49,logistic,0.0001,9,0.7405670921445355,0.7258319001161794
50,logistic,0.0001,11,0.7428665777608434,0.7295176780360105
51,logistic,0.0001,13,0.7442484282720518,0.7276735207423304
52,logistic,0.0001,15,0.7414891725408014,0.7331958459532544
53,logistic,0.0001,17,0.744249063313647,0.7322750356401787
54,logistic,0.0001,19,0.7428672128024386,0.7304308783464987
